区,科,,,,単,,,,,,週時間数,,,,,,,科目,,区,科,,,必選,単,,,,,,週時間数,,,,,,,,,,,,科目
分,目 群,授業科目,,必選 位の別,1年 数 前期,,1年 後期,,2年 前期,,2年 後期 前期 3年,3年 後期,,4年 前期,,4年 後期,,ナンバ リング,,分,目 群,,授業科目,ナンバの別,位 数 前期 1年,,1年 後期,,2年 前期,,2年 後期 前期 3年,3年 後期,,4年 前期,,4年 後期,,PA,FW,GP,WC,MV,リング
"",微分積分学(1a),,※MS,○,1 1*,,(1),,,,,,,,,,,10-111,,,,理工学と生活,,,2,,2,,,,,,,,,,,△,,△,△,△,19-101
"",微分積分学(1b),,※MS,○,1 1*,,(1),,,,,,,,,,,10-112,,,専,工業概論,,,2,,2,,,,,,,,,,,◎,△,◎,◎,◎,19-102
"",微分積分学(2a),,※MS,△1,1,,1,,(1),,,,,,,,,10-211,,,門,原子力汎論,,,2,,2,,,,,,,,,,,,,△,,,19-103
"",微分積分学(2b),,※MS,△1,1,,1,,(1),,,,,,,,,10-212,,,教,量子力学入門,,,2,,,,,,2,,,,,,,,,,,,19-201
"",,,,,,,,,,,,,,,,,,,,,養,,,,,,,,,,,,,,,,,,,,,,
"",線形代数学(1a),,※MS,○,1 1,,(1),,,,,,,,,,,10-113,,,,相対論入門,,,2,,,,,,2,,,,,,,,,,,,19-202
"",線形代数学(1b),,※MS,○,1 1,,(1),,,,,,,,,,,10-114,,,,論理的な問題解決の進め方,,,2,,,,,,,2,,,,,,◎,,◎,◎,◎,19-301
"",数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",線形代数学(2a),,※MS,△1,1,,1,,(1),,,,,,,,,10-213,,,,電気電子通信計測応用,,△1,2,,,,,,2,,,,,,,◎,○,◎,◎,◎,19-302
"",学,,,,,,,,,,,,,,,,,,,,共 学,,,,,,,,,,,,,,,,,,,,,,
"",系 線形代数学(2b),,※MS,△1,1,,1,,(1),,,,,,,,,10-214,,,通 部,電気化学(a),,,1,,,,,,1,,,,,,,,,,,,19-203
"",微分方程式論,,,△1,2,,,,2,,,,,,,,,10-311,,,,電気化学(b),,,1,,,,,,1,,,,,,,,,,,,19-204
